participante,id_participante,jogo,fase,data,selecao_1,palpite_1,palpite_2,selecao_2,status
Adailton,adailton,70,Fase de Grupos,2026-06-23,Panamá,0,1,Croácia,OK
Adailton,adailton,71,Fase de Grupos,2026-06-27,Panamá,0,3,Inglaterra,OK
Adailton,adailton,72,Fase de Grupos,2026-06-27,Croácia,1,1,Gana,OK
Adailton,adailton,73,16 avos,2026-06-28,South Africa,0,1,Canada,OK
Adailton,adailton,74,16 avos,2026-06-29,Brasil,2,1,Japan,OK
Adailton,adailton,75,16 avos,2026-06-29,Germany,2,0,Paraguay,OK
Adailton,adailton,76,16 avos,2026-06-29,Netherlands,2,1,Morocco,OK
Adailton,adailton,77,16 avos,2026-06-30,Côte d'Ivoire,2,1,Norway,OK
Adailton,adailton,78,16 avos,2026-06-30,França,3,0,Sweden,OK
Adailton,adailton,79,16 avos,2026-06-30,Mexico,1,1,Equador,OK
Adailton,adailton,80,16 avos,2026-07-01,England,2,0,RD Congo,OK
Adailton,adailton,81,16 avos,2026-07-01,Belgium,1,1,Senegal,OK
Adailton,adailton,82,16 avos,2026-07-01,USA,2,0,Bósnia,OK
Adailton,adailton,83,16 avos,2026-07-02,Spain,2,1,Áustria,OK
Adailton,adailton,84,16 avos,2026-07-02,Portugal,1,2,Croácia,OK
Adailton,adailton,85,16 avos,2026-07-03,Switzerland,2,0,Argélia,OK
Adailton,adailton,86,16 avos,2026-07-03,Australia,1,1,Egito,OK
Adailton,adailton,87,16 avos,2026-07-03,Argentina,2,0,Cape Verde,OK
Adailton,adailton,88,16 avos,2026-07-03,Colombia,2,2,Ghana,OK
Adailton,adailton,89,Oitavas,2026-07-04,Canada,1,2,Morocco,OK
Adailton,adailton,90,Oitavas,2026-07-04,Paraguay,1,3,França,OK
Adailton,adailton,91,Oitavas,2026-07-05,Brasil,2,1,Norway,OK
Adailton,adailton,92,Oitavas,2026-07-05,Mexico,2,1,England,OK
Adailton,adailton,93,Oitavas,2026-07-06,Portugal,1,2,Spain,OK
Adailton,adailton,94,Oitavas,2026-07-06,USA,1,1,Belgium,OK
Adailton,adailton,95,Oitavas,2026-07-07,Argentina,3,1,Egito,OK
Adailton,adailton,96,Oitavas,2026-07-07,Switzerland,2,1,Colombia,OK
